country,iso3,match_id,utc_kickoff,local_kickoff,timezone,population,viewers,viewer_ratio,stage,match_importance,base_interest,sleep_loss_per_viewer,total_sleep_loss_hours,working_pop_ratio,lost_productive_hours,gdp_per_capita,gdp_per_hour,economic_loss
"Korea, Republic of",KOR,537330,2026-06-19T01:00:00+00:00,2026-06-19T10:00:00+09:00,Asia/Seoul,51751065,5175106,0.1,group,1.0,0.1,0.0,0.0,0.64351,0.0,36238.639908315,18.1193199541575,0.0
"Korea, Republic of",KOR,537332,2026-06-25T01:00:00+00:00,2026-06-25T10:00:00+09:00,Asia/Seoul,51751065,5175106,0.1,group,1.0,0.1,0.0,0.0,0.64351,0.0,36238.639908315,18.1193199541575,0.0
Mexico,MEX,537327,2026-06-11T19:00:00+00:00,2026-06-11T13:00:00-06:00,America/Mexico_City,130861007,13086100,0.1,group,1.0,0.1,0.0,0.0,0.61609,0.0,14185.7812248529,7.092890612426451,0.0
Mexico,MEX,537330,2026-06-19T01:00:00+00:00,2026-06-18T19:00:00-06:00,America/Mexico_City,130861007,13086100,0.1,group,1.0,0.1,0.0,0.0,0.61609,0.0,14185.7812248529,7.092890612426451,0.0
Mexico,MEX,537331,2026-06-25T01:00:00+00:00,2026-06-24T19:00:00-06:00,America/Mexico_City,130861007,13086100,0.1,group,1.0,0.1,0.0,0.0,0.61609,0.0,14185.7812248529,7.092890612426451,0.0
Morocco,MAR,537339,2026-06-13T22:00:00+00:00,2026-06-13T23:00:00+01:00,Africa/Casablanca,38081173,3808117,0.1,group,1.0,0.1,2.0,7616234.0,0.43941,3346649.38194,4153.1943359375,2.07659716796875,6949642.628720972
Morocco,MAR,537342,2026-06-19T22:00:00+00:00,2026-06-19T23:00:00+01:00,Africa/Casablanca,38081173,3808117,0.1,group,1.0,0.1,2.0,7616234.0,0.43941,3346649.38194,4153.1943359375,2.07659716796875,6949642.628720972
Morocco,MAR,537344,2026-06-24T22:00:00+00:00,2026-06-24T23:00:00+01:00,Africa/Casablanca,38081173,3808117,0.1,group,1.0,0.1,2.0,7616234.0,0.43941,3346649.38194,4153.1943359375,2.07659716796875,6949642.628720972
Netherlands,NLD,537357,2026-06-14T20:00:00+00:00,2026-06-14T22:00:00+02:00,Europe/Amsterdam,17993485,1799348,0.1,group,1.0,0.1,1.0,1799348.0,0.6724800000000001,1210025.5430400001,67520.4218956281,33.760210947814045,40850717.585273646
Netherlands,NLD,537359,2026-06-20T17:00:00+00:00,2026-06-20T19:00:00+02:00,Europe/Amsterdam,17993485,1799348,0.1,group,1.0,0.1,0.0,0.0,0.6724800000000001,0.0,67520.4218956281,33.760210947814045,0.0
Netherlands,NLD,537361,2026-06-25T23:00:00+00:00,2026-06-26T01:00:00+02:00,Europe/Amsterdam,17993485,1799348,0.1,group,1.0,0.1,2.0,3598696.0,0.6724800000000001,2420051.0860800003,67520.4218956281,33.760210947814045,81701435.17054729
New Zealand,NZL,537364,2026-06-16T01:00:00+00:00,2026-06-16T13:00:00+12:00,Pacific/Auckland,5287500,528750,0.1,group,1.0,0.1,0.0,0.0,0.70352,0.0,49205.1792146792,24.6025896073396,0.0
New Zealand,NZL,537366,2026-06-22T01:00:00+00:00,2026-06-22T13:00:00+12:00,Pacific/Auckland,5287500,528750,0.1,group,1.0,0.1,0.0,0.0,0.70352,0.0,49205.1792146792,24.6025896073396,0.0
New Zealand,NZL,537367,2026-06-27T03:00:00+00:00,2026-06-27T15:00:00+12:00,Pacific/Auckland,5287500,528750,0.1,group,1.0,0.1,0.0,0.0,0.70352,0.0,49205.1792146792,24.6025896073396,0.0
Norway,NOR,537392,2026-06-16T22:00:00+00:00,2026-06-17T00:00:00+02:00,Europe/Oslo,5572279,557227,0.1,group,1.0,0.1,2.0,1114454.0,0.65606,731148.69124,86785.4334489176,43.3927167244588,31726528.042436108
Norway,NOR,537394,2026-06-23T00:00:00+00:00,2026-06-23T02:00:00+02:00,Europe/Oslo,5572279,557227,0.1,group,1.0,0.1,2.0,1114454.0,0.65606,731148.69124,86785.4334489176,43.3927167244588,31726528.042436108
Norway,NOR,537395,2026-06-26T19:00:00+00:00,2026-06-26T21:00:00+02:00,Europe/Oslo,5572279,557227,0.1,group,1.0,0.1,0.0,0.0,0.65606,0.0,86785.4334489176,43.3927167244588,0.0
Panama,PAN,537410,2026-06-17T23:00:00+00:00,2026-06-17T18:00:00-05:00,America/Panama,4515577,451557,0.1,group,1.0,0.1,0.0,0.0,0.6630400000000001,0.0,19161.2188501596,9.5806094250798,0.0
Panama,PAN,537412,2026-06-23T23:00:00+00:00,2026-06-23T18:00:00-05:00,America/Panama,4515577,451557,0.1,group,1.0,0.1,0.0,0.0,0.6630400000000001,0.0,19161.2188501596,9.5806094250798,0.0
Panama,PAN,537413,2026-06-27T21:00:00+00:00,2026-06-27T16:00:00-05:00,America/Panama,4515577,451557,0.1,group,1.0,0.1,0.0,0.0,0.6630400000000001,0.0,19161.2188501596,9.5806094250798,0.0
Paraguay,PRY,537345,2026-06-13T01:00:00+00:00,2026-06-12T21:00:00-04:00,America/Asuncion,6929153,692915,0.1,group,1.0,0.1,0.0,0.0,0.70247,0.0,6416.09708970845,3.208048544854225,0.0
Paraguay,PRY,537347,2026-06-20T03:00:00+00:00,2026-06-19T23:00:00-04:00,America/Asuncion,6929153,692915,0.1,group,1.0,0.1,2.0,1385830.0,0.70247,973504.0001000001,6416.09708970845,3.208048544854225,3123048.0909305727
Paraguay,PRY,537350,2026-06-26T02:00:00+00:00,2026-06-25T22:00:00-04:00,America/Asuncion,6929153,692915,0.1,group,1.0,0.1,1.0,692915.0,0.70247,486752.00005000003,6416.09708970845,3.208048544854225,1561524.0454652864
Portugal,PRT,537403,2026-06-17T17:00:00+00:00,2026-06-17T18:00:00+01:00,Europe/Lisbon,10694681,1069468,0.1,group,1.0,0.1,0.0,0.0,0.58161,0.0,29292.242104753,14.6461210523765,0.0
Portugal,PRT,537405,2026-06-23T17:00:00+00:00,2026-06-23T18:00:00+01:00,Europe/Lisbon,10694681,1069468,0.1,group,1.0,0.1,0.0,0.0,0.58161,0.0,29292.242104753,14.6461210523765,0.0
Portugal,PRT,537407,2026-06-27T23:30:00+00:00,2026-06-28T00:30:00+01:00,Europe/Lisbon,10694681,1069468,0.1,group,1.0,0.1,2.0,2138936.0,0.58161,1244026.56696,29292.242104753,14.6461210523765,18220163.69206852
Qatar,QAT,537334,2026-06-13T19:00:00+00:00,2026-06-13T22:00:00+03:00,Asia/Qatar,2857822,285782,0.1,group,1.0,0.1,1.0,285782.0,0.8701300000000001,248667.49166000003,76688.6941743178,38.3443470871589,9534992.609504232
Qatar,QAT,537336,2026-06-18T22:00:00+00:00,2026-06-19T01:00:00+03:00,Asia/Qatar,2857822,285782,0.1,group,1.0,0.1,2.0,571564.0,0.8701300000000001,497334.98332000006,76688.6941743178,38.3443470871589,19069985.219008464
Qatar,QAT,537338,2026-06-24T19:00:00+00:00,2026-06-24T22:00:00+03:00,Asia/Qatar,2857822,285782,0.1,group,1.0,0.1,1.0,285782.0,0.8701300000000001,248667.49166000003,76688.6941743178,38.3443470871589,9534992.609504232
Saudi Arabia,SAU,537370,2026-06-15T22:00:00+00:00,2026-06-16T01:00:00+03:00,Asia/Riyadh,35300280,3530028,0.1,group,1.0,0.1,2.0,7060056.0,0.65098,4595955.25488,35121.6628687742,17.560831434387097,80708795.51093327
Saudi Arabia,SAU,537371,2026-06-21T16:00:00+00:00,2026-06-21T19:00:00+03:00,Asia/Riyadh,35300280,3530028,0.1,group,1.0,0.1,0.0,0.0,0.65098,0.0,35121.6628687742,17.560831434387097,0.0
Saudi Arabia,SAU,537374,2026-06-27T00:00:00+00:00,2026-06-27T03:00:00+03:00,Asia/Riyadh,35300280,3530028,0.1,group,1.0,0.1,2.0,7060056.0,0.65098,4595955.25488,35121.6628687742,17.560831434387097,80708795.51093327
Senegal,SEN,537391,2026-06-16T19:00:00+00:00,2026-06-16T19:00:00+00:00,Africa/Dakar,18501984,1850198,0.1,group,1.0,0.1,0.0,0.0,0.5201899999999999,0.0,1773.21829923448,0.8866091496172399,0.0
Senegal,SEN,537394,2026-06-23T00:00:00+00:00,2026-06-23T00:00:00+00:00,Africa/Dakar,18501984,1850198,0.1,group,1.0,0.1,2.0,3700396.0,0.5201899999999999,1924908.9952399998,1773.21829923448,0.8866091496172399,1706641.927360312
Senegal,SEN,537396,2026-06-26T19:00:00+00:00,2026-06-26T19:00:00+00:00,Africa/Dakar,18501984,1850198,0.1,group,1.0,0.1,0.0,0.0,0.5201899999999999,0.0,1773.21829923448,0.8866091496172399,0.0
South Africa,ZAF,537327,2026-06-11T19:00:00+00:00,2026-06-11T21:00:00+02:00,Africa/Johannesburg,64007187,6400718,0.1,group,1.0,0.1,0.0,0.0,0.55584,0.0,6267.186814093,3.1335934070465,0.0
South Africa,ZAF,537329,2026-06-18T16:00:00+00:00,2026-06-18T18:00:00+02:00,Africa/Johannesburg,64007187,6400718,0.1,group,1.0,0.1,0.0,0.0,0.55584,0.0,6267.186814093,3.1335934070465,0.0
South Africa,ZAF,537332,2026-06-25T01:00:00+00:00,2026-06-25T03:00:00+02:00,Africa/Johannesburg,64007187,6400718,0.1,group,1.0,0.1,2.0,12801436.0,0.55584,7115550.18624,6267.186814093,3.1335934070465,22297241.151110157
Spain,ESP,537369,2026-06-15T16:00:00+00:00,2026-06-15T18:00:00+02:00,Europe/Madrid,48848840,4884884,0.1,group,1.0,0.1,0.0,0.0,0.5740999999999999,0.0,35326.7683069278,17.6633841534639,0.0
Spain,ESP,537371,2026-06-21T16:00:00+00:00,2026-06-21T18:00:00+02:00,Europe/Madrid,48848840,4884884,0.1,group,1.0,0.1,0.0,0.0,0.5740999999999999,0.0,35326.7683069278,17.6633841534639,0.0
Spain,ESP,537373,2026-06-27T00:00:00+00:00,2026-06-27T02:00:00+02:00,Europe/Madrid,48848840,4884884,0.1,group,1.0,0.1,2.0,9769768.0,0.5740999999999999,5608823.8088,35326.7683069278,17.6633841534639,99070809.58392894
Sweden,SWE,537358,2026-06-15T02:00:00+00:00,2026-06-15T04:00:00+02:00,Europe/Stockholm,10569709,1056970,0.1,group,1.0,0.1,2.0,2113940.0,0.64595,1365499.543,57117.4877440616,28.5587438720308,38996951.705912106
Sweden,SWE,537359,2026-06-20T17:00:00+00:00,2026-06-20T19:00:00+02:00,Europe/Stockholm,10569709,1056970,0.1,group,1.0,0.1,0.0,0.0,0.64595,0.0,57117.4877440616,28.5587438720308,0.0
Sweden,SWE,537362,2026-06-25T23:00:00+00:00,2026-06-26T01:00:00+02:00,Europe/Stockholm,10569709,1056970,0.1,group,1.0,0.1,2.0,2113940.0,0.64595,1365499.543,57117.4877440616,28.5587438720308,38996951.705912106
Switzerland,CHE,537334,2026-06-13T19:00:00+00:00,2026-06-13T21:00:00+02:00,Europe/Zurich,9005582,900558,0.1,group,1.0,0.1,0.0,0.0,0.66747,0.0,103998.186685604,51.999093342802,0.0
Switzerland,CHE,537335,2026-06-18T19:00:00+00:00,2026-06-18T21:00:00+02:00,Europe/Zurich,9005582,900558,0.1,group,1.0,0.1,0.0,0.0,0.66747,0.0,103998.186685604,51.999093342802,0.0
Switzerland,CHE,537337,2026-06-24T19:00:00+00:00,2026-06-24T21:00:00+02:00,Europe/Zurich,9005582,900558,0.1,group,1.0,0.1,0.0,0.0,0.66747,0.0,103998.186685604,51.999093342802,0.0
Tunisia,TUN,537358,2026-06-15T02:00:00+00:00,2026-06-15T03:00:00+01:00,Africa/Tunis,12277109,1227710,0.1,group,1.0,0.1,2.0,2455420.0,0.45219000000000004,1110316.3698,4181.13789301228,2.09056894650614,2321192.9235013076
Tunisia,TUN,537360,2026-06-21T04:00:00+00:00,2026-06-21T05:00:00+01:00,Africa/Tunis,12277109,1227710,0.1,group,1.0,0.1,2.0,2455420.0,0.45219000000000004,1110316.3698,4181.13789301228,2.09056894650614,2321192.9235013076
Tunisia,TUN,537361,2026-06-25T23:00:00+00:00,2026-06-26T00:00:00+01:00,Africa/Tunis,12277109,1227710,0.1,group,1.0,0.1,2.0,2455420.0,0.45219000000000004,1110316.3698,4181.13789301228,2.09056894650614,2321192.9235013076
